Kata,Bobot
pelak,-3
pekuk,-3
pekir,-4
pekikan,-5
pekik,-5
pekak,-3
pejajaran,-4
pejabat,-3
pegawai pemerintah,-3
pegawai negeri,-3
pegari,-3
pegang,-2
pegal hati,-4
peduli,-1
pedofil,-5
pedih,-4
pedes,-2
pedar,-4
pecat,-5
pdhal,-4
payudara,-3
pawana,-4
pautan,-4
patut,-5
patung,-3
patuk,-5
patos,-5
pati,-5
patgulipat,-5
pataka,-3
patah pucuk,-5
patah,-4
pasukan,-5
pasuk,-3
pasrah,-3
pasokan,-3
pasif,-3
pasal,-4
pasak,-4
parut,-3
paruh,-3
parokial,-3
parlente,-4
parlemen,-3
pariwara,-3
pari-,-3
parau,-4
paranormal,-2
paralelogram,-4
papar,-3
papakerma,-5
papak,-3
pantesan,-2
pantat,-3
pantang,-4
panji-panji,-3
panik,-4
pangsa,-3
pangkur,-4
pangkal kerongkongan,-5
pandemi,-5
pancur,-3
pancaran,-3
pancakara,-4
panas hati,-5
panas,-3
panar,-3
pampat,-5
pamflet,-3
pameran,-3
pamer,-3
palolo,-4
palka,-3
palit,-3
pales,-4
palat,-5
paksa,-4
pakar,-1
pajak,-3
pait,-4
pailit,-5
pahit,-3
pahala,-1
pagina,-2
pagi,-3
pagebluk,-5
paganisme,-5
padang pasir,-3
padang luas,-3
pada,-3
pacul,-4
pacak,-4
pa,-5
oyong,-4
oyok,-3
ovipositor,-3
oven,-4
otot,-4
otek,-4
otaknya,-2
otak udang,-5
otak telur,-5
otak ayam,-5
osteoporosis,-5
orok,-3
orbit,-4
orang-orangan,-3
orang halus,-4
orang bunian,-4
ora,-3
opp,-1
oposisi,-3
opium,-3
open,-3
oon,-5
onyak-anyik,-4
ongok,-3
ongkang-ongkang,-4
onar,-5
onak,-4
omongan,-4
omong kosong,-4
omong,-4
olok-olok,-5
olok,-4
oles,-4
ogel,-4
ogah-ogahan,-4
ogah,-3
odoh,-5
ocehan,-4
obsolet,-5
obsesi,-2
obrolan,-4
obral,-3
obat bedil,-3
obat,-3
nyuruh,-3
nyontek,-5
nyolong,-4
nyinyir,-4
nyiksa,-4
nyet,-4
nyesel,-5
nyesek,-4
nyesal,-4
nyeri,-4
nyerah,-3
nyenyeh,-4
nyenyat,-4
nyenyak,-4
nyelekit,-4
nyebut,-3
nyebelin,-4
nyata,-2
nyasar,-4
nyanyang,-5
nyamuk,-1
nyampah,-4
nyalahin,-4
nyala,-2
nyakitin,-5
nuzul,-4
nusuk,-3
nungguin,-2
numpuk,-3
nujum,-4
nol,-3
noda,-4
njir,-3
nistaan,-5
nista,-5
nis-,-3
nira,-3
ninggalin,-4
nikah,-3
nihil,-4
ngotot,-4
ngomongin,-3
ngomel,-4
ngilu,-4
ngilang,-3
nggak,-3
ngga,-2
ngetawain,-4
ngestalk,-4
ngespam,-3
ngesot,-2
ngeselin,-5
ngerjain,-2
ngeri,-4
ngenes,-4
ngelupain,-4
ngeluh,-4
ngeles,-3
ngeden,-2
ngeang,-4
ngatain,-5
ngarti,-3
ngarep,-2
ngantuk,-2
nganggur,-3
ngancem,-4
ngamen,-3
ngambek,-5
ngalah,-3
ngadu,-3
ngadepin,-2
ngaceng,-5
nestapa,-3
neraka,-5
nenes,-2
nelangsa,-3
nekat,-4
negasi,-2
necis,-1
ndut,-4
ndak,-3
naudzubillah,-5
natural,-3
nasihat,-3
narkotika,-4
narkotik,-3
narasi,-4
napsu,-3
nape,-3
naon,-2
nangis,-5
nanar,-4
nama buruk,-5
nala,-3
nakal,-5
najisin,-4
najis,-4
naik pitam,-4
naik darah,-4
nahas,-2
nahan,-3
naena,-2
nabrak,-4
naas,-5
mutu,-1
mutlak,-3
musuhan,-4
musuh,-4
mustaka,-3
mustahil,-2
musnah,-5
muskil,-2
musir,-4
musibah,-5
murus,-5
murup,-3
murung,-4
murtad,-5
murka,-4
